"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.658154917E0,2.444955191E0,-1.319770367E0,3.400732437E0,4.391421276E0
1.668166917E0,1.025016173E0,1.578211452E0,7.450627434E-1,2.023988150E0
1.678177917E0,4.878460658E-1,4.972784432E0,-1.012420174E0,5.098193151E0
1.688189917E0,3.550052199E-1,8.045999703E0,-2.601984653E0,8.463714554E0
1.698200917E0,-9.787192351E-1,1.025544674E1,-5.481161242E0,1.166941334E1
1.708212917E0,-3.813129833E0,1.068916162E1,-7.372158970E0,1.353317639E1
1.718223917E0,-5.634606798E0,1.092211820E1,-7.458286117E0,1.437593446E1
1.728235917E0,-6.176034409E0,1.143866006E1,-6.134912111E0,1.437440404E1
1.738246917E0,-6.952282108E0,9.341050966E0,-4.683749838E-1,1.165370477E1
1.748258917E0,-5.759972856E0,6.472644364E0,3.593165474E0,9.379938725E0
1.758269917E0,-3.529319434E0,4.267923051E0,5.396235697E0,7.732439623E0
1.768281917E0,-2.680720920E0,1.051535781E0,4.855116234E0,5.644833549E0
1.778292917E0,-2.384256561E0,-3.979147781E0,3.745339554E0,5.962035289E0
1.788304917E0,-1.994395504E0,-1.094013347E1,3.045549755E0,1.152993959E1
1.798315917E0,-1.874479929E-1,-1.910684718E1,2.865771262E0,1.932147487E1
1.808327917E0,3.392241111E0,-2.773784152E1,3.825270115E0,2.820510314E1
1.818338917E0,8.093443426E0,-3.208167020E1,4.314931741E0,3.336699005E1
1.828350917E0,1.079451207E1,-3.049063814E1,3.534781903E0,3.253759653E1
1.838361917E0,9.153838323E0,-2.388724653E1,1.188281398E0,2.560869609E1
1.848373917E0,6.847420481E0,-1.678227491E1,-8.328174636E-1,1.814457228E1
1.858384917E0,4.848595419E0,-1.191273125E1,-1.793338994E0,1.298607363E1
1.868395917E0,3.020882983E0,-9.132293088E0,-1.734528868E0,9.774103613E0
1.878407917E0,1.906131492E0,-7.585966503E0,-1.623476502E0,7.988485526E0
1.888418917E0,2.118244210E0,-7.395077131E0,-1.336032059E0,7.807631265E0
1.898430917E0,3.254825988E0,-8.541937146E0,-6.591794246E-1,9.164774952E0
