"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.288679125E0,-8.984365256E-1,3.266815996E-1,1.105240703E0,1.461323396E0
2.298634125E0,-8.934780867E-1,-6.251258254E-2,6.239704156E-1,1.091581419E0
2.308589125E0,-9.215764430E-1,-3.935445106E-1,2.527728669E-1,1.033476920E0
2.318544125E0,-1.064720521E0,-6.701125485E-1,8.727795281E-2,1.261070203E0
2.328499125E0,-1.157926674E0,-7.141853517E-1,-1.322524698E-1,1.366874396E0
2.338454125E0,-1.165487489E0,-5.768137908E-1,-5.487601657E-1,1.411457741E0
2.348409125E0,-8.659860867E-1,-2.997358757E-1,-8.913203180E-1,1.278368259E0
2.358364125E0,-3.399503572E-1,-1.365324855E-3,-1.503731811E0,1.541680080E0
2.368319125E0,2.299581643E-1,1.965664333E-1,-2.135468645E0,2.156790545E0
2.378273125E0,8.066546819E-1,2.895143580E-1,-2.780227082E0,2.909325174E0
2.388228125E0,1.391900450E0,4.310263324E-1,-3.298481008E0,3.605987732E0
2.398183125E0,1.952986839E0,6.387784892E-1,-3.499565292E0,4.058220396E0
2.408138125E0,2.276188029E0,8.041675687E-1,-3.010415590E0,3.858797669E0
2.418093125E0,2.169932719E0,8.742552191E-1,-2.008740917E0,3.083499678E0
2.428048125E0,1.972890030E0,7.826235026E-1,-8.577841973E-1,2.289233135E0
2.438003125E0,1.898968360E0,7.063173383E-1,-2.936954096E-2,2.026284182E0
2.447958125E0,2.021525123E0,6.241914403E-1,4.271772565E-1,2.158392732E0
2.457913125E0,2.294935957E0,4.593175006E-1,6.161807549E-1,2.420202953E0
2.467868125E0,2.613605702E0,2.543532962E-1,6.665697205E-1,2.709233389E0
2.477823125E0,2.865064334E0,5.288514197E-2,6.458812483E-1,2.937439882E0
2.487778125E0,3.015792397E0,-8.712643683E-2,6.472601679E-1,3.085699357E0
2.497733125E0,3.080009151E0,-1.279487729E-1,6.660740228E-1,3.153804347E0
2.507688125E0,3.142725509E0,-9.381097376E-2,6.535984035E-1,3.211341619E0
2.517642125E0,3.116094072E0,-2.089560986E-1,6.834063394E-1,3.196990639E0
2.527597125E0,3.003767890E0,-5.743462658E-1,7.188670711E-1,3.141538642E0
2.537552125E0,2.833325062E0,-1.105702633E0,7.647770695E-1,3.136111157E0
2.547507125E0,2.615350803E0,-1.702575881E0,5.911874163E-1,3.176212684E0
2.557462125E0,2.449122356E0,-2.328118613E0,2.690210366E-1,3.389794818E0
2.567417125E0,2.261258918E0,-3.004796416E0,2.603180408E-3,3.760598379E0
2.577372125E0,2.076470970E0,-3.523301772E0,-1.015836775E-1,4.090929761E0
2.587327125E0,1.840325611E0,-3.784600391E0,3.212811112E-2,4.208447539E0
