"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.880002542E0,-2.866882818E0,1.963467534E0,-2.540583626E0,4.304507755E0
2.889963542E0,-2.909699347E0,1.841373140E0,-3.965080549E0,5.251558729E0
2.899925542E0,-2.836514426E0,1.681597241E0,-5.072594649E0,6.050190067E0
2.909886542E0,-2.609444823E0,1.455263218E0,-6.069486446E0,6.765032079E0
2.919847542E0,-2.335581561E0,1.202143245E0,-7.024740804E0,7.499804863E0
2.929809542E0,-2.032839778E0,9.756930086E-1,-7.905270671E0,8.220566817E0
2.939770542E0,-1.738357333E0,8.130210572E-1,-8.663261608E0,8.873273981E0
2.949731542E0,-1.496131162E0,6.591298695E-1,-9.358340598E0,9.500073651E0
2.959692542E0,-1.306130713E0,4.786753658E-1,-9.985269120E0,1.008170159E1
2.969654542E0,-1.224334160E0,2.945102191E-1,-1.057393872E1,1.064865769E1
2.979615542E0,-1.114924276E0,2.286831424E-2,-1.104405603E1,1.110021409E1
2.989576542E0,-8.986726069E-1,-3.114088185E-1,-1.146242314E1,1.150181430E1
2.999538542E0,-6.910193411E-1,-5.361217014E-1,-1.188832498E1,1.192045322E1
3.009499542E0,-3.959830553E-1,-7.560579939E-1,-1.207772799E1,1.210784620E1
3.019460542E0,1.357504204E-3,-1.128528701E0,-1.212753925E1,1.217993379E1
3.029422542E0,3.598436081E-1,-1.523391759E0,-1.213848056E1,1.223899179E1
3.039383542E0,6.293586248E-1,-1.876501311E0,-1.216488658E1,1.232484544E1
3.049344542E0,7.609788644E-1,-2.170996035E0,-1.214942888E1,1.236531175E1
3.059305542E0,6.597186841E-1,-2.272309279E0,-1.214184387E1,1.237024619E1
3.069267542E0,4.325578643E-1,-2.113455925E0,-1.209555732E1,1.228642784E1
3.079228542E0,6.034194991E-1,-1.871597836E0,-1.193179552E1,1.209275559E1
3.089189542E0,1.166242365E0,-1.435066642E0,-1.164113276E1,1.178709080E1
3.099151542E0,1.175400712E0,-1.447727034E0,-1.163736833E1,1.178583141E1
3.109112542E0,2.031205042E0,-5.483802429E-1,-9.909500899E0,1.013038612E1
3.119073542E0,2.600465546E0,-3.696945950E-1,-8.130930510E0,8.544654827E0
3.129035542E0,3.718402601E0,-1.131779460E0,-4.880631144E0,6.239230963E0
3.138996542E0,4.722769185E0,-2.615562472E0,5.984034652E-1,5.431740286E0
3.148957542E0,4.987521170E0,-3.690930335E0,7.539503943E0,9.764346054E0
3.158919542E0,5.636028841E0,-4.871034694E0,1.332024728E1,1.526174261E1
3.168880542E0,7.004081422E0,-6.726017082E0,1.635832137E1,1.902343661E1
